"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-2432.735167,6779.845371,-1597.623844,-4.770473,-0.397421,5.577560
17 Sep 2021 04:01:00.000,-2714.320582,6743.997781,-1260.104478,-4.617116,-0.800225,5.662721
17 Sep 2021 04:02:00.000,-2986.203510,6684.057563,-918.078800,-4.447284,-1.200181,5.727632
17 Sep 2021 04:03:00.000,-3247.413804,6600.238161,-572.769937,-4.261583,-1.595861,5.772060
17 Sep 2021 04:04:00.000,-3497.019464,6492.838328,-225.412754,-4.060678,-1.985851,5.795846
17 Sep 2021 04:05:00.000,-3734.129957,6362.241064,122.750556,-3.845285,-2.368758,5.798905
17 Sep 2021 04:06:00.000,-3957.899398,6208.912248,470.474921,-3.616175,-2.743215,5.781227
17 Sep 2021 04:07:00.000,-4167.529564,6033.398974,816.516834,-3.374166,-3.107882,5.742875
17 Sep 2021 04:08:00.000,-4362.272746,5836.327605,1159.638808,-3.120123,-3.461457,5.683985
17 Sep 2021 04:09:00.000,-4541.434411,5618.401531,1498.613796,-2.854952,-3.802676,5.604769
17 Sep 2021 04:10:00.000,-4704.375684,5380.398663,1832.229583,-2.579602,-4.130321,5.505510
17 Sep 2021 04:11:00.000,-4850.515620,5123.168653,2159.293117,-2.295056,-4.443221,5.386562
17 Sep 2021 04:12:00.000,-4979.333283,4847.629863,2478.634778,-2.002329,-4.740256,5.248351
17 Sep 2021 04:13:00.000,-5090.369594,4554.766086,2789.112562,-1.702468,-5.020367,5.091371
17 Sep 2021 04:14:00.000,-5183.228977,4245.623034,3089.616161,-1.396542,-5.282551,4.916184
17 Sep 2021 04:15:00.000,-5257.580758,3921.304600,3379.070937,-1.085645,-5.525872,4.723416
17 Sep 2021 04:16:00.000,-5313.160351,3582.968922,3656.441765,-0.770887,-5.749459,4.513756
17 Sep 2021 04:17:00.000,-5349.770195,3231.824245,3920.736730,-0.453391,-5.952514,4.287955
17 Sep 2021 04:18:00.000,-5367.280457,2869.124604,4171.010681,-0.134290,-6.134310,4.046819
17 Sep 2021 04:19:00.000,-5365.629492,2496.165348,4406.368607,0.185275,-6.294198,3.791212
17 Sep 2021 04:20:00.000,-5344.824063,2114.278513,4625.968839,0.504165,-6.431605,3.522047
17 Sep 2021 04:21:00.000,-5304.939309,1724.828067,4829.026057,0.821240,-6.546041,3.240286
17 Sep 2021 04:22:00.000,-5246.118477,1329.205033,5014.814104,1.135370,-6.637095,2.946938
17 Sep 2021 04:23:00.000,-5168.572407,928.822524,5182.668577,1.445432,-6.704442,2.643051
17 Sep 2021 04:24:00.000,-5072.578776,525.110697,5331.989208,1.750320,-6.747841,2.329712
17 Sep 2021 04:25:00.000,-4958.481101,119.511641,5462.242005,2.048946,-6.767136,2.008042
17 Sep 2021 04:26:00.000,-4826.687517,-286.525770,5572.961169,2.340243,-6.762257,1.679190
17 Sep 2021 04:27:00.000,-4677.669307,-691.551058,5663.750751,2.623174,-6.733221,1.344334
17 Sep 2021 04:28:00.000,-4511.959227,-1094.117319,5734.286077,2.896727,-6.680131,1.004670
17 Sep 2021 04:29:00.000,-4330.149592,-1492.786392,5784.314902,3.159927,-6.603176,0.661414
17 Sep 2021 04:30:00.000,-4132.890166,-1886.133997,5813.658315,3.411835,-6.502630,0.315792
17 Sep 2021 04:31:00.000,-3920.885837,-2272.754825,5822.211380,3.651551,-6.378852,-0.030959
17 Sep 2021 04:32:00.000,-3694.894097,-2651.267556,5809.943507,3.878221,-6.232283,-0.377600
17 Sep 2021 04:33:00.000,-3455.722337,-3020.319796,5776.898567,4.091036,-6.063447,-0.722890
17 Sep 2021 04:34:00.000,-3204.224962,-3378.592911,5723.194731,4.289238,-5.872945,-1.065595
17 Sep 2021 04:35:00.000,-2941.300339,-3724.806733,5649.024049,4.472118,-5.661458,-1.404490
17 Sep 2021 04:36:00.000,-2667.887589,-4057.724139,5554.651764,4.639025,-5.429741,-1.738362
17 Sep 2021 04:37:00.000,-2384.963229,-4376.155470,5440.415360,4.789364,-5.178620,-2.066017
17 Sep 2021 04:38:00.000,-2093.537690,-4678.962783,5306.723359,4.922599,-4.908993,-2.386284
17 Sep 2021 04:39:00.000,-1794.651702,-4965.063915,5154.053859,5.038255,-4.621821,-2.698017
17 Sep 2021 04:40:00.000,-1489.372582,-5233.436353,4982.952824,5.135919,-4.318131,-3.000102
17 Sep 2021 04:41:00.000,-1178.790421,-5483.120888,4794.032130,5.215245,-3.999007,-3.291458
17 Sep 2021 04:42:00.000,-864.014192,-5713.225043,4587.967379,5.275950,-3.665588,-3.571044
17 Sep 2021 04:43:00.000,-546.167789,-5922.926264,4365.495483,5.317818,-3.319065,-3.837859
17 Sep 2021 04:44:00.000,-226.386015,-6111.474856,4127.412027,5.340699,-2.960675,-4.090949
17 Sep 2021 04:45:00.000,94.189467,-6278.196671,3874.568426,5.344515,-2.591700,-4.329410
17 Sep 2021 04:46:00.000,414.414216,-6422.495512,3607.868878,5.329251,-2.213455,-4.552389
17 Sep 2021 04:47:00.000,733.145094,-6543.855267,3328.267133,5.294963,-1.827292,-4.759087
17 Sep 2021 04:48:00.000,1049.244345,-6641.841755,3036.763079,5.241774,-1.434591,-4.948766
17 Sep 2021 04:49:00.000,1361.583662,-6716.104281,2734.399169,5.169876,-1.036755,-5.120748
17 Sep 2021 04:50:00.000,1669.048211,-6766.376887,2422.256693,5.079525,-0.635203,-5.274418
17 Sep 2021 04:51:00.000,1970.540610,-6792.479309,2101.451910,4.971045,-0.231371,-5.409225
17 Sep 2021 04:52:00.000,2264.984847,-6794.317621,1773.132057,4.844824,0.173299,-5.524689
17 Sep 2021 04:53:00.000,2551.330121,-6771.884574,1438.471244,4.701313,0.577361,-5.620396
17 Sep 2021 04:54:00.000,2828.554587,-6725.259622,1098.666258,4.541026,0.979372,-5.696003
17 Sep 2021 04:55:00.000,3095.669011,-6654.608644,754.932285,4.364535,1.377896,-5.751241
17 Sep 2021 04:56:00.000,3351.720291,-6560.183352,408.498557,4.172472,1.771509,-5.785912
17 Sep 2021 04:57:00.000,3595.794864,-6442.320393,60.603965,3.965522,2.158804,-5.799891
17 Sep 2021 04:58:00.000,3827.021964,-6301.440151,-287.507380,3.744425,2.538398,-5.793130
17 Sep 2021 04:59:00.000,4044.576727,-6138.045249,-634.590587,3.509972,2.908935,-5.765651
17 Sep 2021 05:00:00.000,4247.683135,-5952.718749,-979.404445,3.262998,3.269091,-5.717554
17 Sep 2021 05:01:00.000,4435.616782,-5746.122081,-1320.715858,3.004388,3.617579,-5.649010
17 Sep 2021 05:02:00.000,4607.707462,-5518.992675,-1657.304254,2.735064,3.953153,-5.560265
17 Sep 2021 05:03:00.000,4763.341555,-5272.141330,-1987.965952,2.455988,4.274615,-5.451635
17 Sep 2021 05:04:00.000,4901.964215,-5006.449322,-2311.518464,2.168158,4.580816,-5.323510
17 Sep 2021 05:05:00.000,5023.081352,-4722.865258,-2626.804727,1.872600,4.870661,-5.176347
17 Sep 2021 05:06:00.000,5126.261389,-4422.401685,-2932.697239,1.570371,5.143115,-5.010673
17 Sep 2021 05:07:00.000,5211.136801,-4106.131481,-3228.102089,1.262550,5.397203,-4.827080
17 Sep 2021 05:08:00.000,5277.405424,-3775.184016,-3511.962873,0.950235,5.632019,-4.626225
17 Sep 2021 05:09:00.000,5324.831533,-3430.741127,-3783.264470,0.634543,5.846721,-4.408826
17 Sep 2021 05:10:00.000,5353.246676,-3074.032894,-4041.036671,0.316599,6.040543,-4.175660
17 Sep 2021 05:11:00.000,5362.550277,-2706.333245,-4284.357651,-0.002460,6.212792,-3.927562
17 Sep 2021 05:12:00.000,5352.709989,-2328.955411,-4512.357262,-0.321496,6.362852,-3.665418
17 Sep 2021 05:13:00.000,5323.761806,-1943.247232,-4724.220150,-0.639370,6.490186,-3.390166
17 Sep 2021 05:14:00.000,5275.809933,-1550.586345,-4919.188665,-0.954948,6.594339,-3.102791
17 Sep 2021 05:15:00.000,5209.026413,-1152.375264,-5096.565576,-1.267102,6.674937,-2.804320
17 Sep 2021 05:16:00.000,5123.650504,-750.036368,-5255.716560,-1.574718,6.731693,-2.495820
17 Sep 2021 05:17:00.000,5019.987826,-345.006822,-5396.072471,-1.876699,6.764402,-2.178394
17 Sep 2021 05:18:00.000,4898.409266,61.266556,-5517.131380,-2.171967,6.772948,-1.853179
17 Sep 2021 05:19:00.000,4759.349652,467.332464,-5618.460363,-2.459468,6.757299,-1.521336
17 Sep 2021 05:20:00.000,4603.306197,871.740300,-5699.697053,-2.738177,6.717510,-1.184052
17 Sep 2021 05:21:00.000,4430.836718,1273.045347,-5760.550938,-3.007097,6.653724,-0.842535
17 Sep 2021 05:22:00.000,4242.557649,1669.813928,-5800.804395,-3.265271,6.566166,-0.498004
17 Sep 2021 05:23:00.000,4039.141831,2060.628534,-5820.313472,-3.511776,6.455149,-0.151692
17 Sep 2021 05:24:00.000,3821.316112,2444.092883,-5819.008399,-3.745734,6.321070,0.195162
17 Sep 2021 05:25:00.000,3589.858746,2818.836915,-5796.893842,-3.966310,6.164406,0.541318
17 Sep 2021 05:26:00.000,3345.596617,3183.521680,-5754.048886,-4.172716,5.985716,0.885538
17 Sep 2021 05:27:00.000,3089.402281,3536.844127,-5690.626745,-4.364218,5.785639,1.226592
17 Sep 2021 05:28:00.000,2822.190851,3877.541757,-5606.854226,-4.540131,5.564887,1.563259
17 Sep 2021 05:29:00.000,2544.916727,4204.397137,-5503.030907,-4.699829,5.324250,1.894336
17 Sep 2021 05:30:00.000,2258.570189,4516.242246,-5379.528071,-4.842741,5.064587,2.218639
17 Sep 2021 05:31:00.000,1964.173857,4811.962656,-5236.787378,-4.968360,4.786823,2.535007
17 Sep 2021 05:32:00.000,1662.779045,5090.501507,-5075.319285,-5.076236,4.491952,2.842310
17 Sep 2021 05:33:00.000,1355.461999,5350.863287,-4895.701221,-5.165987,4.181026,3.139449
17 Sep 2021 05:34:00.000,1043.320059,5592.117393,-4698.575520,-5.237291,3.855156,3.425360
17 Sep 2021 05:35:00.000,727.467739,5813.401452,-4484.647126,-5.289896,3.515504,3.699022
17 Sep 2021 05:36:00.000,409.032750,6013.924407,-4254.681072,-5.323615,3.163285,3.959456
17 Sep 2021 05:37:00.000,89.151968,6192.969346,-4009.499744,-5.338328,2.799755,4.205730
17 Sep 2021 05:38:00.000,-231.032618,6349.896060,-3749.979939,-5.333983,2.426214,4.436964
17 Sep 2021 05:39:00.000,-550.377989,6484.143338,-3477.049731,-5.310597,2.043994,4.652332
17 Sep 2021 05:40:00.000,-867.744171,6595.230970,-3191.685150,-5.268253,1.654463,4.851061
17 Sep 2021 05:41:00.000,-1181.998310,6682.761467,-2894.906693,-5.207105,1.259010,5.032443
17 Sep 2021 05:42:00.000,-1492.018710,6746.421481,-2587.775677,-5.127372,0.859049,5.195828
17 Sep 2021 05:43:00.000,-1796.698842,6785.982931,-2271.390438,-5.029338,0.456007,5.340633
17 Sep 2021 05:44:00.000,-2094.951289,6801.303815,-1946.882408,-4.913354,0.051325,5.466338
17 Sep 2021 05:45:00.000,-2385.711630,6792.328722,-1615.412066,-4.779836,-0.353551,5.572496
17 Sep 2021 05:46:00.000,-2667.942239,6759.089034,-1278.164790,-4.629261,-0.757176,5.658725
17 Sep 2021 05:47:00.000,-2940.635984,6701.702814,-936.346618,-4.462167,-1.158107,5.724718
17 Sep 2021 05:48:00.000,-3202.819827,6620.374388,-591.179933,-4.279151,-1.554912,5.770239
17 Sep 2021 05:49:00.000,-3453.558289,6515.393616,-243.899091,-4.080867,-1.946174,5.795125
17 Sep 2021 05:50:00.000,-3691.956795,6387.134860,104.253987,-3.868025,-2.330494,5.799286
17 Sep 2021 05:51:00.000,-3917.164860,6236.055650,452.034265,-3.641384,-2.706500,5.782709
17 Sep 2021 05:52:00.000,-4128.379127,6062.695050,798.198038,-3.401754,-3.072848,5.745452
17 Sep 2021 05:53:00.000,-4324.846228,5867.671735,1141.507382,-3.149991,-3.428228,5.687649
17 Sep 2021 05:54:00.000,-4505.865477,5651.681785,1480.734580,-2.886994,-3.771372,5.609505
17 Sep 2021 05:55:00.000,-4670.791364,5415.496198,1814.666514,-2.613704,-4.101054,5.511302
17 Sep 2021 05:56:00.000,-4819.035861,5159.958138,2142.109003,-2.331095,-4.416094,5.393389
17 Sep 2021 05:57:00.000,-4950.070513,4885.979927,2461.891072,-2.040177,-4.715367,5.256190
17 Sep 2021 05:58:00.000,-5063.428330,4594.539788,2772.869141,-1.741990,-4.997804,5.100193
17 Sep 2021 05:59:00.000,-5158.705441,4286.678349,3073.931114,-1.437597,-5.262395,4.925957
17 Sep 2021 06:00:00.000,-5235.562543,3963.494929,3364.000355,-1.128086,-5.508194,4.734106
17 Sep 2021 06:01:00.000,-5293.726102,3626.143615,3642.039542,-0.814562,-5.734323,4.525324
17 Sep 2021 06:02:00.000,-5332.989331,3275.829137,3907.054370,-0.498145,-5.939974,4.300360
