"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
17 Sep 2021 04:00:00.000,-2999.716710,5695.683175,-3605.245958,-5.769453,-0.157782,4.551159
17 Sep 2021 04:01:00.000,-3340.276585,5676.180697,-3325.722572,-5.580534,-0.496412,4.757704
17 Sep 2021 04:02:00.000,-3668.893839,5636.409405,-3034.305951,-5.371689,-0.833285,4.947235
17 Sep 2021 04:03:00.000,-3984.395098,5576.510411,-2732.038237,-5.143664,-1.167197,5.119073
17 Sep 2021 04:04:00.000,-4285.653879,5496.696699,-2420.000375,-4.897274,-1.496956,5.272605
17 Sep 2021 04:05:00.000,-4571.594607,5397.252375,-2099.308251,-4.633400,-1.821385,5.407282
17 Sep 2021 04:06:00.000,-4841.196460,5278.531652,-1771.108699,-4.352985,-2.139325,5.522622
17 Sep 2021 04:07:00.000,-5093.497009,5140.957589,-1436.575402,-4.057031,-2.449639,5.618212
17 Sep 2021 04:08:00.000,-5327.595657,4985.020582,-1096.904691,-3.746596,-2.751221,5.693710
17 Sep 2021 04:09:00.000,-5542.656854,4811.276620,-753.311272,-3.422790,-3.042992,5.748847
17 Sep 2021 04:10:00.000,-5737.913076,4620.345299,-407.023877,-3.086768,-3.323911,5.783426
17 Sep 2021 04:11:00.000,-5912.667567,4412.907614,-59.280873,-2.739733,-3.592973,5.797322
17 Sep 2021 04:12:00.000,-6066.296824,4189.703528,288.674166,-2.382923,-3.849218,5.790487
17 Sep 2021 04:13:00.000,-6198.252823,3951.529337,635.596912,-2.017614,-4.091730,5.762944
17 Sep 2021 04:14:00.000,-6308.064970,3699.234824,980.246722,-1.645111,-4.319642,5.714791
17 Sep 2021 04:15:00.000,-6395.341786,3433.720231,1321.391087,-1.266744,-4.532140,5.646202
17 Sep 2021 04:16:00.000,-6459.772296,3155.933043,1657.810031,-0.883865,-4.728465,5.557422
17 Sep 2021 04:17:00.000,-6501.127141,2866.864612,1988.300477,-0.497843,-4.907915,5.448767
17 Sep 2021 04:18:00.000,-6519.259392,2567.546614,2311.680548,-0.110055,-5.069847,5.320627
17 Sep 2021 04:19:00.000,-6514.105075,2259.047369,2626.793796,0.278112,-5.213684,5.173460
17 Sep 2021 04:20:00.000,-6485.683394,1942.468029,2932.513335,0.665273,-5.338911,5.007792
